Epoch,Train Total Loss,Train Token Acc,Train CE Loss,Train Halt Loss,Train Halt Acc,Test CE Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
1,2.3714624404907227,0.1151537150144577,2.307716953754425,0.0637454888144061,0.0,2.225954546478124,0.1110300206946836,0.0,0.1110300206946836,0.0,21.931403636932373,646.01611328125,455.92157098243064
2,2.1959612131118775,0.14656933695077895,2.195126450061798,0.0008347653465096627,0.0,2.1946050188443276,0.22265032588641812,0.0,0.22265032588641812,0.0,21.920762300491333,646.01611328125,456.18851493024306
3,2.1517887353897094,0.24763459861278533,2.151523220539093,0.00026550897164300273,0.0,2.1612692413260803,0.2733067965031247,0.0,0.2733067965031247,0.0,21.71752119064331,646.01611328125,460.4577065778741
4,2.0426926255226134,0.2571715466678143,2.0422192454338073,0.000473354182052068,0.0,1.9964250515217354,0.24403582145313374,0.0,0.24403582145313374,0.0,21.945845365524292,646.01611328125,455.66711299759027
5,1.8677326142787933,0.335170765966177,1.8667048692703248,0.0010277418654109608,0.0,1.8026587320875025,0.38107956585093217,0.0,0.38107956585093217,0.0,21.92216181755066,646.01611328125,456.1593917254138
6,1.7400717377662658,0.38851772993803024,1.7392711877822875,0.0008005499549297269,0.0,1.6753880801558783,0.388752945615362,0.0,0.388752945615362,0.0,21.43921184539795,646.01611328125,466.435057039961
7,1.7225896418094635,0.38902670592069627,1.7221013188362122,0.0004883212153899356,0.0,1.6066962230869413,0.3884983099906843,0.0,0.3884983099906843,0.0,21.51343274116516,646.01611328125,464.8258657887436
8,1.6441445648670197,0.38971620351076125,1.643761831521988,0.000382728150000729,0.0,1.574096020428378,0.3884384436194602,0.0,0.3884384436194602,0.0,21.884812593460083,646.01611328125,456.93788591035667
9,1.6183681905269622,0.3901380509138107,1.6180737614631653,0.0002944321924596337,0.0,1.5508443088277488,0.3885647755197405,0.0,0.3885647755197405,0.0,21.737058877944946,646.01611328125,460.0438383201092
10,1.6003125727176666,0.3906515270471573,1.6000677645206451,0.00024481026339393766,0.0,1.536889961210348,0.39175049664754846,0.0,0.39175049664754846,0.0,21.544503450393677,646.01611328125,464.15551061666605
11,1.57827370762825,0.39139885157346727,1.5780966460704804,0.00017705917707655484,0.0,1.528650399559058,0.3900589396676486,0.0,0.3900589396676486,0.0,21.878637552261353,646.01611328125,457.06685236286165
12,1.5677895426750184,0.39182138741016387,1.5676490247249604,0.00014052055048527815,0.0,1.5249975722003504,0.3917809647956714,0.0,0.3917809647956714,0.0,21.8120539188385,646.01611328125,458.46209793949123
13,1.55804585814476,0.3925500065088272,1.557931524515152,0.00011433762047092307,0.0,1.5224035109503795,0.3909902844316446,0.0,0.3909902844316446,0.0,21.87466073036194,646.01611328125,457.1499472958701
14,1.5493542551994324,0.39335490167140963,1.5492504239082336,0.00010383704357083206,0.0,1.5197990092180542,0.39248793963658607,0.0,0.39248793963658607,0.0,21.948776960372925,646.01611328125,455.6062516856563
15,1.5496605157852172,0.39395895004272463,1.5495697557926178,9.076088172151509e-05,0.0,1.5176776827969216,0.39277842287289894,0.0,0.39277842287289894,0.0,21.705764293670654,646.01611328125,460.70711285278145
16,1.5439003825187683,0.39537704437971116,1.5438132226467132,8.716960728634744e-05,0.0,1.5170229884094535,0.39372975269183697,0.0,0.39372975269183697,0.0,22.03138566017151,646.01611328125,453.8979142868017
17,1.5438620805740357,0.3960165470838547,1.5437868654727935,7.521531515522274e-05,0.0,1.5158058478526284,0.3941127441408559,0.0,0.3941127441408559,0.0,21.63655734062195,646.01611328125,462.18073617586646
18,1.5434104800224304,0.397179388999939,1.5433469414710999,6.354442957672478e-05,0.0,1.5158252827191756,0.39360210548445906,0.0,0.39360210548445906,0.0,21.77275037765503,646.01611328125,459.2897004993368
19,1.5495055556297301,0.39672639071941374,1.5494497954845428,5.575446302828029e-05,0.0,1.5130729681065815,0.3984764793089458,0.0,0.3984764793089458,0.0,21.81851863861084,646.01611328125,458.3262578745212
20,1.5451501131057739,0.3992767229676247,1.545098316669464,5.18013090186296e-05,0.0,1.5134055307067336,0.39842660865829876,0.0,0.39842660865829876,0.0,21.81068181991577,646.01611328125,458.4909395573686
21,1.5449403941631317,0.399850432574749,1.54489204287529,4.835003273910907e-05,0.0,1.5131109967358753,0.39677658626588724,0.0,0.39677658626588724,0.0,21.889020919799805,646.01611328125,456.8500362185893
22,1.5485947489738465,0.4000484272837639,1.5485485374927521,4.6217384442571176e-05,0.0,1.5111841992373616,0.40008208505610865,0.0,0.40008208505610865,0.0,21.850996494293213,646.01611328125,457.64503246392826
23,1.5474625289440156,0.4014673337340355,1.5474155068397522,4.702617516159144e-05,0.0,1.510047972202301,0.4013882175845615,0.0,0.4013882175845615,0.0,21.761958122253418,646.01611328125,459.5174728221798
24,1.5463742673397065,0.4024300664663315,1.5463263273239136,4.794333326572155e-05,0.0,1.5093521162614985,0.401192403987014,0.0,0.401192403987014,0.0,21.80583429336548,646.01611328125,458.5928639768919
25,1.5486526668071747,0.4029212310910225,1.5486055493354798,4.7117730355240136e-05,0.0,1.5088764724950814,0.40231311977919887,0.0,0.40231311977919887,0.0,22.10271716117859,646.01611328125,452.43306183024816
26,1.5513954222202302,0.4042488247156143,1.5513495266437531,4.5899518590886754e-05,0.0,1.5071258111958354,0.4030092995406352,0.0,0.4030092995406352,0.0,21.72216534614563,646.01611328125,460.3592616412155
27,1.5577047348022461,0.40498337596654893,1.5576583743095398,4.6350646516658055e-05,0.0,1.5068941023967457,0.40415940413896456,0.0,0.40415940413896456,0.0,21.96871566772461,646.01611328125,455.1927455045323
28,1.5569152057170867,0.407243986427784,1.556868326663971,4.686801075877223e-05,0.0,1.5030658962362904,0.4064669074359875,0.0,0.4064669074359875,0.0,21.845600128173828,646.01611328125,457.7580813219776
29,1.561247134208679,0.4086195886135101,1.5611962378025055,5.089953592687479e-05,0.0,1.5000759911594899,0.40830624301987756,0.0,0.40830624301987756,0.0,21.78143882751465,646.01611328125,459.1064933400013
30,1.5661597192287444,0.41127869784832,1.5661088526248932,5.0859227849287955e-05,0.0,1.4969847057979853,0.4103154569647791,0.0,0.4103154569647791,0.0,21.963467359542847,646.01611328125,455.3015166639947
31,1.5727791786193848,0.413258022069931,1.5727272093296052,5.1972235451104194e-05,0.0,1.4924015486500166,0.4119204299718358,0.0,0.4119204299718358,0.0,21.59234070777893,646.01611328125,463.12718641001095
32,1.5835906863212585,0.4161587506532669,1.5835395932197571,5.1084177903249967e-05,0.0,1.4854661533676683,0.41567156490921686,0.0,0.41567156490921686,0.0,21.740434646606445,646.01611328125,459.972404533363
33,1.5877226710319519,0.4191142305731773,1.587669950723648,5.273212627798951e-05,0.0,1.4783669463370095,0.41944061685128015,0.0,0.41944061685128015,0.0,22.056503534317017,646.01611328125,453.3810168253239
34,1.5969739735126496,0.4233192831277847,1.5969160854816438,5.788140551885976e-05,0.0,1.4700248196684997,0.42328344848340704,0.0,0.42328344848340704,0.0,21.65036654472351,646.01611328125,461.8859444870293
35,1.6073995530605316,0.4270134851336479,1.6073262572288514,7.330707776423779e-05,0.0,1.4630668499567896,0.4264819754093669,0.0,0.4264819754093669,0.0,21.856165170669556,646.01611328125,457.53680583544264
