Epoch,Train Total Loss,Train Token Acc,Train CE Loss,Train Halt Loss,Train JEPA Raw,Train JEPA Weighted,Train Halt Acc,Test CE Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
1,2.2065869027918037,0.17125984010371295,2.205640359358354,0.9398488781668923,1.3485551801594822,6.7427757089304085e-06,0.0,2.1679919051777654,0.2917751123988888,0.0,,,44.167460441589355,3602.33447265625,113.22815371315562
2,2.0673765420913695,0.34365667700767516,2.0671955347061157,0.1739303663664032,1.4139208376407624,7.069603998388629e-06,0.0,1.8729825299819503,0.3824821748470856,0.0,,,43.242223501205444,3642.755859375,231.2554533584804
3,1.9070239305496215,0.3828444167971611,1.906894427537918,0.12091192468360532,1.7131827235221864,8.565913321945118e-06,0.0,1.629619395184459,0.389055937131727,0.0,,,44.21227502822876,3642.755859375,226.1815297587644
4,1.7878699123859405,0.3896340250968933,1.7877668261528015,0.08785733919648919,3.0396772623062134,1.5198385972325923e-05,0.0,1.5666088261269484,0.3918031337546956,0.0,,,45.610921144485474,3642.755859375,219.24573652705183
5,1.6852087736129762,0.3920864284038544,1.6851196527481078,0.06709702705484233,4.410557556152344,2.2052787426218855e-05,0.0,1.5416618275296023,0.39266243537315154,0.0,,,43.79342079162598,3642.755859375,228.34480200989836
6,1.6495226204395295,0.39239378869533537,1.6494440019130707,0.05072542002299087,5.580917692184448,2.7904587659577375e-05,0.0,1.5295892600285805,0.3917523508859893,0.0,,,45.25270199775696,3642.755859375,220.9812797586246
7,1.5842207312583922,0.39497812688350675,1.5841470181941986,0.04036973735173888,6.667318344116211,3.333659115014598e-05,0.0,1.5208557261104445,0.39581417525074386,0.0,,,44.490978479385376,3642.755859375,224.76466784459325
8,1.562410593032837,0.39765753149986266,1.5623397886753083,0.031035688700842456,7.9520463943481445,3.976023108407389e-05,0.0,1.5148563862712852,0.39948027914719203,0.0,,,45.31237196922302,3642.755859375,220.69027873429755
9,1.554544562101364,0.399921415746212,1.5544750213623046,0.02451116735811354,9.007107830047607,4.503553791437298e-05,0.0,1.5129013342949726,0.4000713507358445,0.0,,,44.94631791114807,3642.755859375,222.48763557825706
10,1.555046260356903,0.40160354375839236,1.554975962638855,0.02117213011399599,9.821369552612305,4.9106846563518045e-05,0.0,1.5105335291015034,0.40065985438177143,0.0,,,45.3795371055603,3642.755859375,220.3636404826772
11,1.552253818511963,0.403756657242775,1.5521822929382325,0.019082846871719995,10.485604763031006,5.242802253633272e-05,0.0,1.508637206895011,0.40315222148456525,0.0,,,44.63726735115051,3642.755859375,224.02805085115168
12,1.551156210899353,0.4062591329216957,1.551083642244339,0.017148470572200127,11.086185741424561,5.543092738662381e-05,0.0,1.5072385481137052,0.4047492595330855,0.0,,,45.16743493080139,3642.755859375,221.39844813681503
13,1.5536982476711274,0.40772358179092405,1.5536222219467164,0.01781002686498141,11.643443202972412,5.821721460961271e-05,0.0,1.5043218132947316,0.40682372223522706,0.0,,,45.49482321739197,3642.755859375,219.80522821719975
14,1.5612392902374268,0.410971337556839,1.5611602783203125,0.018148673061099886,12.172295570373535,6.0861475867568514e-05,0.0,1.4996368058079956,0.40985629395480305,0.0,,,44.649941205978394,3642.755859375,223.96446064437487
15,1.565371710062027,0.41491380929946897,1.5652907371520997,0.01759654722417068,12.673268890380859,6.336634323815815e-05,0.0,1.4926511326367284,0.41457141838408557,0.0,,,45.05438566207886,3642.755859375,221.95397524678154
16,1.5821986615657806,0.4205049365758896,1.5821155726909637,0.017813167258375985,13.052756595611573,6.526378128910438e-05,0.0,1.4791843009341428,0.4220287503615996,0.0,,,44.808685302734375,3642.755859375,223.17101991362748
17,1.6069440186023711,0.43134898841381075,1.6068527460098267,0.025580904536408867,13.135793495178223,6.567896562046372e-05,0.0,1.4470171426168077,0.43537391134093517,0.0,,,45.869378089904785,3642.755859375,218.0103680586169
18,1.664828395843506,0.4458629757165909,1.664696592092514,0.06911622924403674,12.535278701782227,6.267639109864831e-05,0.0,1.4017537585470925,0.44973362971449016,0.0,,,44.362502336502075,3642.9931640625,225.25780724000373
19,1.6611262738704682,0.4617959722876549,1.6609478831291198,0.11628576115617761,12.419275951385497,6.209637722349725e-05,0.0,1.3429199464384638,0.46695555490385243,0.0,,,45.60374641418457,3642.755859375,218.88552552987628
20,1.5759825527667999,0.4765881597995758,1.5757709681987762,0.1479051028210961,12.739101123809814,6.3695503922645e-05,0.0,1.277867267264581,0.48038964958514196,0.0,,,44.92569422721863,3642.9140625,220.11902476086084
21,1.5004371762275697,0.49208185225725176,1.500233107805252,0.13568868953443597,13.6768798828125,6.838439730927348e-05,0.0,1.2124696275801117,0.4968970638787775,0.0,,,45.958160638809204,3641.755859375,217.28458800780112
22,1.4203635692596435,0.5095772564411163,1.4202013790607453,0.084556473442899,15.524990272521972,7.762494860799051e-05,0.0,1.1377613701774192,0.514869277904455,0.0,,,44.197307109832764,3641.755859375,226.2581286943443
23,1.34862819314003,0.524047115445137,1.3484784603118896,0.06093605127449564,17.760490226745606,8.88024500454776e-05,0.0,1.0972534100599496,0.523685390449898,0.0,,,44.994128704071045,3641.755859375,222.25122005963425
24,1.3154271245002747,0.5341110944747924,1.315291053056717,0.03851896778214723,19.511106872558592,9.755553255672567e-05,0.0,1.0588813255254639,0.5349931820108584,0.0,,,44.42264223098755,3641.755859375,225.11042787599834
