Epoch,Train Total Loss,Train Token Acc,Train CE Loss,Train Halt Loss,Train Halt Acc,Test CE Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
1,2.303552877902985,0.12823606841266155,2.2683039903640747,0.03524888884469081,0.0,2.1815156385338623,0.21577667361959707,0.0,,,40.55983829498291,1310.40087890625,246.54930641666192
2,2.0830814957618715,0.27419324070215223,2.0828882575035097,0.000193222195957862,0.0,1.9992169529993367,0.34749413842727717,0.0,,,40.85216760635376,1310.40087890625,244.78505268946108
3,1.9014062702655792,0.3672424226999283,1.9002405762672425,0.0011656889134164974,0.0,1.7237594231566273,0.38810987214920883,0.0,,,41.18298625946045,1310.40087890625,242.81871977418407
4,1.8618947625160218,0.38851480185985565,1.8617059230804442,0.0001888413549751142,0.0,1.5852312803557076,0.3893902384412202,0.0,,,41.88861131668091,1310.40087890625,238.72837235876077
5,1.7299777150154114,0.38962393552064895,1.7297646701335907,0.00021304575057050864,0.0,1.5510034450029924,0.38878005342535477,0.0,,,42.85741353034973,1310.40087890625,233.3318596774031
6,1.6296638607978822,0.3909857600927353,1.6294963121414185,0.00016754299576894014,0.0,1.5304660152003493,0.38914864147690825,0.0,,,43.224703311920166,1310.40087890625,231.34918770494554
7,1.6018051624298095,0.3924659341573715,1.601656013727188,0.00014914311614164602,0.0,1.522708546740091,0.3915805031543205,0.0,,,43.007434129714966,1310.40087890625,232.51794026676745
8,1.5817455887794494,0.3950266718864441,1.581607609987259,0.00013798430954960983,0.0,1.5204421156255155,0.39224734754452695,0.0,,,44.83085823059082,1310.40087890625,223.0606415912063
9,1.5683020770549774,0.3948989734053612,1.5681729316711426,0.00012915459519750037,0.0,1.518037983782355,0.3944685761489822,0.0,,,44.21972370147705,1310.40087890625,226.1434301921243
10,1.560847818851471,0.39681531488895416,1.5607350885868072,0.00011272820702310765,0.0,1.515271467244654,0.39575070582925553,0.0,0.39575070582925553,0.0,44.799344301223755,1310.40087890625,223.2175527561647
11,1.5591967463493348,0.39838788062334063,1.5590933382511138,0.000103409365692823,0.0,1.5159951625955594,0.39567249832949974,0.0,0.39575070582925553,0.0,45.12439036369324,1310.40087890625,221.60964213371244
12,1.5582229733467101,0.3990111887454987,1.558121109008789,0.00010186163272030995,0.0,1.5138765937190946,0.3967345286223848,0.0,0.39575070582925553,0.0,43.99420523643494,1310.40087890625,227.3026628452022
13,1.557699477672577,0.4002791211009026,1.5575950145721436,0.00010446281812641295,0.0,1.5120129090244487,0.39886616974996886,0.0,0.39575070582925553,0.0,45.21202826499939,1310.40087890625,221.18007936709705
14,1.5562424182891845,0.4013897553086281,1.5561411201953887,0.00010129034344590168,0.0,1.5117207165203141,0.39889419273660487,0.0,0.39575070582925553,0.0,43.994223833084106,1310.40087890625,227.3025667628644
15,1.5525667786598205,0.40316693037748336,1.5524680733680725,9.871334550568948e-05,0.0,1.508887299325218,0.40148229741876984,0.0,0.39575070582925553,0.0,44.99027752876282,1310.40087890625,222.27024480137695
16,1.551460289955139,0.40495202988386153,1.5513619124889373,9.837100878954962e-05,0.0,1.507333383288857,0.40366023800563583,0.0,0.39575070582925553,0.0,44.28607201576233,1310.40087890625,225.80462761386454
