Epoch,Train Total Loss,Train Token Acc,Train CE Loss,Train Halt Loss,Train JEPA Raw,Train JEPA Weighted,Train Halt Acc,Test CE Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
1,2.35533554930436,0.11253761813828819,2.2745778937088814,0.0805810667028219,1.7659102835153277,0.000176591023965126,0.0,2.2178825012996755,0.13380278910332097,0.0,0.13380278910332097,0.0,20.999537229537964,1731.7314453125,451.819480414748
2,2.1936769008636476,0.16554840728640557,2.192747962474823,0.0005281269594248075,4.008104062080383,0.000400810394785367,0.0,2.1927200342206055,0.20312319573276558,0.0,0.20312319573276558,0.0,20.93398952484131,1731.7314453125,477.69203228718084
3,2.1558950543403625,0.27876278311014174,2.155190348625183,0.0001343962569080853,5.7031090259552,0.0005703108967281878,0.0,2.1675757721030395,0.30820958110668467,0.0,0.30820958110668467,0.0,21.165523052215576,1731.7314453125,472.46647178668303
4,2.052904933691025,0.29959736764431,2.05230672955513,0.00019031658666812264,4.078521120548248,0.0004078521073097363,0.0,2.0191723838556763,0.27111956700863044,0.0,0.27111956700863044,0.0,21.43565535545349,1731.7314453125,466.5124454641821
5,1.9222123146057128,0.3344233289361,1.9209253191947937,0.0009821715970908546,3.0483327746391295,0.00030483327282126993,0.0,1.8272808429403975,0.3623880085875855,0.0,0.3623880085875855,0.0,21.669936180114746,1731.7314453125,461.46882560625284
6,1.7854397118091583,0.37301083505153654,1.7843854010105134,0.0005411305261638128,5.131834602355957,0.0005131834506755695,0.0,1.6788739719344687,0.3837550539009219,0.0,0.3837550539009219,0.0,21.845967769622803,1731.7314453125,457.75037780222186
7,1.7012714743614197,0.3868235468864441,1.7001466274261474,0.00038320908499417714,7.41637396812439,0.0007416373700834811,0.0,1.6049690115249764,0.3893851522022529,0.0,0.3893851522022529,0.0,22.00760507583618,1731.7314453125,454.3883791780578
8,1.6366101861000062,0.3894992142915726,1.6354109346866608,0.00019715921662402338,10.020952796936035,0.0010020952438935637,0.0,1.5607279397673526,0.38898245726890196,0.0,0.38898245726890196,0.0,22.136133432388306,1731.7314453125,451.75007778768537
9,1.6052717030048371,0.3897837191820145,1.6038863003253936,0.00011753856670127538,12.678582668304443,0.0012678582454100252,0.0,1.543634416693348,0.38967581663379947,0.0,0.38967581663379947,0.0,22.11775803565979,1731.7314453125,452.1253910037945
10,1.58769890666008,0.3904483154416084,1.5861265242099762,8.494192734365137e-05,14.874306869506835,0.001487430650740862,0.0,1.532000072787518,0.38914735914719883,0.0,0.38914735914719883,0.0,22.18928337097168,1731.7314453125,450.6680018824824
