Epoch,Train Loss,Token Accuracy,CE Loss,Halt Loss,Halt Acc,Test Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
23,2615220732.9886475,0.11728394590318203,2615220732.9886475,0.0,0.0,57.645774841308594,0.14403291046619415,0.0,0.14403291046619415,0.0,0.20241355895996094,101.1357421875,59.28456602244565
24,1475988199.2024603,0.16460904851555824,1475988199.2024603,0.0,0.0,113.46831512451172,0.1316872388124466,0.0,0.1316872388124466,0.0,0.19880437850952148,101.1357421875,60.36084360901174
25,2939252599.4793873,0.1286008171737194,2939252599.4793873,0.0,0.0,103.3587417602539,0.1316872388124466,0.0,0.1316872388124466,0.0,0.19850754737854004,101.1357421875,60.451102028462614
26,2705016123.1248455,0.14711933583021164,2705016123.1248455,0.0,0.0,160.94703674316406,0.11522633582353592,0.0,0.11522633582353592,0.0,0.19593334197998047,101.1357421875,61.24531883514804
27,4376857443.941837,0.13477365858852863,4376857443.941837,0.0,0.0,168.50486755371094,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19726061820983887,101.1357421875,60.83322717378298
28,4449285454.135986,0.1111111044883728,4449285454.135986,0.0,0.0,85.72388458251953,0.11522633582353592,0.0,0.11522633582353592,0.0,0.2013101577758789,101.1357421875,59.60951068032915
29,2182191048.420227,0.11522633582353592,2182191048.420227,0.0,0.0,67.00995635986328,0.1316872388124466,0.0,0.1316872388124466,0.0,0.19638466835021973,101.1357421875,61.10456636360215
30,1609260040.6528835,0.15020575374364853,1609260040.6528835,0.0,0.0,35.323543548583984,0.19341562688350677,0.0,0.19341562688350677,0.0,0.19800591468811035,101.1357421875,60.60425022606945
31,932821687.9300089,0.21913579478859901,932821687.9300089,0.0,0.0,116.3834457397461,0.1111111044883728,0.0,0.1111111044883728,0.0,0.1990346908569336,101.1357421875,60.29099725447166
32,2904972248.8116837,0.1111111044883728,2904972248.8116837,0.0,0.0,60.71448516845703,0.11522633582353592,0.0,0.11522633582353592,0.0,0.2000880241394043,101.1357421875,59.97360437543939
33,1540394129.6673908,0.14609053172171116,1540394129.6673908,0.0,0.0,63.992523193359375,0.1358024626970291,0.0,0.1358024626970291,0.0,0.19863414764404297,101.1357421875,60.41257327770389
34,1592158733.0391455,0.15329217910766602,1592158733.0391455,0.0,0.0,93.79383087158203,0.11934155970811844,0.0,0.11934155970811844,0.0,0.1983954906463623,101.1357421875,60.485245712514015
35,2342630359.92795,0.12242797948420048,2342630359.92795,0.0,0.0,77.5995101928711,0.14814814925193787,0.0,0.14814814925193787,0.0,0.19964361190795898,101.1357421875,60.107107286419556
36,1997691932.5600376,0.17078188806772232,1997691932.5600376,0.0,0.0,94.78067779541016,0.16460904479026794,0.0,0.16460904479026794,0.0,0.19803285598754883,101.1357421875,60.596005345468996
37,2681286069.9207497,0.1841563694179058,2681286069.9207497,0.0,0.0,121.33983612060547,0.16049382090568542,0.0,0.16049382090568542,0.0,0.19594693183898926,101.1357421875,61.24107117870297
38,3135577946.942379,0.16872427612543106,3135577946.942379,0.0,0.0,127.64226531982422,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19636869430541992,101.1357421875,61.10953704940325
39,2874305866.2982693,0.1111111044883728,2874305866.2982693,0.0,0.0,80.62957000732422,0.1563785970211029,0.0,0.1563785970211029,0.0,0.1970205307006836,101.1357421875,60.90735801656413
40,2201550527.347824,0.1800411455333233,2201550527.347824,0.0,0.0,113.10543060302734,0.12345678359270096,0.0,0.12345678359270096,0.0,0.19864273071289062,101.1357421875,60.40996293664663
41,3026421609.2226486,0.1286008171737194,3026421609.2226486,0.0,0.0,114.9801254272461,0.1563785970211029,0.0,0.1563785970211029,0.0,0.19884634017944336,101.1357421875,60.34810592526336
42,2943781864.904211,0.1635802425444126,2943781864.904211,0.0,0.0,77.01742553710938,0.16460904479026794,0.0,0.16460904479026794,0.0,0.19758296012878418,101.1357421875,60.73398228358571
43,2024177323.7963524,0.15740740299224854,2024177323.7963524,0.0,0.0,82.08955383300781,0.11522633582353592,0.0,0.11522633582353592,0.0,0.19858050346374512,101.1357421875,60.428893021669886
