Epoch,Train Loss,Token Accuracy,CE Loss,Halt Loss,Halt Acc,Test Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
1,3037623773.0482025,0.11316872015595436,3037623773.0403175,0.007886233739554882,0.0,303.4081115722656,0.11934155970811844,0.0,0.11934155970811844,0.0,0.5465877056121826,101.1357421875,21.9543906253067
2,7704491538.910622,0.1162551399320364,7704491538.910622,0.0,0.0,324.4263610839844,0.10699588060379028,0.0,0.10699588060379028,0.0,0.1977529525756836,101.1357421875,60.681774121210076
3,8275147889.891739,0.11522633396089077,8275147889.891739,2.3242398757784643e-39,0.0,302.71649169921875,0.12345678359270096,0.0,0.12345678359270096,0.0,0.19658827781677246,101.1357421875,61.041279435717136
4,8032840504.846016,0.12037036940455437,8032840503.952568,0.8934507369995117,0.0,358.2836608886719,0.1316872388124466,0.0,0.1316872388124466,0.0,0.19620728492736816,100.16796875,45.86985648026072
5,10057082673.930298,0.14094650000333786,10057082673.930298,0.0,0.0,455.1623229980469,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19866561889648438,101.1357421875,60.4030031298604
6,12152758873.075737,0.1111111044883728,12152758873.075737,0.0,0.0,445.3907165527344,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19700312614440918,101.1357421875,60.91273897452592
7,12222199165.01564,0.1111111044883728,12222199165.01564,0.0,0.0,293.8274230957031,0.1111111044883728,0.0,0.1111111044883728,0.0,0.1980879306793213,101.1357421875,60.579157744983696
8,7740414912.3592,0.11316871829330921,7740414912.3592,0.0,0.0,345.20849609375,0.1111111044883728,0.0,0.1111111044883728,0.0,0.1992206573486328,101.1357421875,60.23471742189968
9,9187891077.727913,0.1111111044883728,9187891077.727913,0.0,0.0,232.79962158203125,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19658851623535156,101.1357421875,61.04120540608719
10,6093943246.084663,0.11316871829330921,6093943246.084663,0.0,0.0,273.452392578125,0.12345678359270096,0.0,0.12345678359270096,0.0,0.19993901252746582,101.1357421875,60.01830182266979
11,7627377588.249817,0.12551439739763737,7627377588.249817,0.0,0.0,262.66949462890625,0.1358024626970291,0.0,0.1358024626970291,0.0,0.19896864891052246,101.1357421875,60.31100912484198
12,7164813898.813866,0.12448559142649174,7164813898.813866,0.0,0.0,228.54713439941406,0.11522633582353592,0.0,0.11522633582353592,0.0,0.20096182823181152,101.1357421875,59.71283255921556
13,6241703512.941471,0.11522633582353592,6241703512.941471,0.0,0.0,208.9847869873047,0.10699588060379028,0.0,0.10699588060379028,0.0,0.19955945014953613,101.1357421875,60.13245672408911
14,5434578185.271595,0.11008230037987232,5434578185.271595,0.0,0.0,152.3756866455078,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19897675514221191,101.1357421875,60.30855207897729
15,4026112678.601734,0.11316871829330921,4026112678.601734,0.0,0.0,116.18419647216797,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19901466369628906,101.1357421875,60.29706443296499
16,3012979725.79117,0.12448559142649174,3012979725.79117,0.0,0.0,108.97947692871094,0.1563785970211029,0.0,0.1563785970211029,0.0,0.19817876815795898,101.1357421875,60.55139060323235
17,2842751267.478264,0.1491769514977932,2842751267.478264,0.0,0.0,142.87298583984375,0.12345678359270096,0.0,0.12345678359270096,0.0,0.19923138618469238,101.1357421875,60.23147371406484
18,3814289115.3119965,0.12037036567926407,3814289115.3119965,0.0,0.0,205.3082275390625,0.1111111044883728,0.0,0.1111111044883728,0.0,0.20129060745239258,101.1357421875,59.615300246128626
19,5573411793.04385,0.1111111044883728,5573411793.04385,0.0,0.0,224.09872436523438,0.1111111044883728,0.0,0.1111111044883728,0.0,0.19919133186340332,101.1357421875,60.24358533949195
20,6094401675.026638,0.1111111044883728,6094401675.026638,0.0,0.0,167.2046661376953,0.11934155970811844,0.0,0.11934155970811844,0.0,0.19842839241027832,101.1357421875,60.475216546573286
21,4528423164.410545,0.15020575560629368,4528423164.410545,0.0,0.0,157.40286254882812,0.11522633582353592,0.0,0.11522633582353592,0.0,0.19854474067687988,101.1357421875,60.4397777502921
22,3843053727.5030556,0.11522633582353592,3843053727.5030556,0.0,0.0,100.75538635253906,0.10699588060379028,0.0,0.10699588060379028,0.0,0.20031380653381348,101.1357421875,59.906005520265374
