Epoch,Train Loss,Token Accuracy
293,1.4795,0.439
294,1.4757,0.44
295,1.4814,0.438
296,1.4781,0.439
297,1.4796,0.439
298,1.4794,0.439
299,1.4795,0.439
300,1.4776,0.442
301,1.4728,0.441
302,1.4759,0.44
303,1.4761,0.44
304,1.4751,0.441
305,1.475,0.441
306,1.4712,0.443
307,1.4723,0.442
308,1.472,0.442
309,1.4741,0.442
310,1.4744,0.442
311,1.4703,0.442
312,1.4722,0.442
313,1.4735,0.44
314,1.4719,0.442
315,1.4681,0.443
316,1.466,0.444
317,1.4698,0.443
318,1.464,0.445
319,1.4628,0.444
320,1.4633,0.445
321,1.4587,0.448
322,1.4621,0.446
323,1.4581,0.447
324,1.4587,0.447
325,1.4559,0.448
326,1.4549,0.449
327,1.4506,0.451
328,1.4488,0.45
329,1.4497,0.45
330,1.4471,0.451
331,1.4454,0.452
332,1.4442,0.452
333,1.4458,0.452
334,1.4417,0.453
335,1.4377,0.454
336,1.4354,0.454
337,1.4331,0.455
338,1.4309,0.456
339,1.4341,0.455
340,1.4316,0.456
341,1.4271,0.456
342,1.4255,0.456
343,1.4252,0.456
344,1.4207,0.457
345,1.4214,0.457
346,1.4185,0.457
347,1.4183,0.455
348,1.4196,0.456
349,1.4143,0.458
350,1.4117,0.457
351,1.4118,0.456
352,1.4111,0.456
353,1.4065,0.456
354,1.4034,0.456
355,1.4021,0.456
356,1.4006,0.455
357,1.3945,0.457
358,1.3895,0.457
359,1.386,0.458
360,1.3822,0.458
361,1.381,0.458
362,1.3772,0.458
363,1.3706,0.46
364,1.365,0.46
365,1.3605,0.46
366,1.3534,0.464
367,1.3508,0.462
368,1.3466,0.463
369,1.346,0.463
370,1.3398,0.465
371,1.337,0.466
372,1.3335,0.467
373,1.3286,0.468
374,1.3266,0.469
375,1.3207,0.47
376,1.315,0.471
377,1.3125,0.472
378,1.3082,0.473
379,1.3036,0.473
380,1.3013,0.474
381,1.2921,0.477
382,1.2867,0.478
383,1.2872,0.478
384,1.2872,0.478
385,1.2844,0.48
386,1.2837,0.479
387,1.2806,0.479
388,1.2798,0.481
389,1.2772,0.48
390,1.2713,0.482
391,1.2656,0.484
392,1.2631,0.484
393,1.2571,0.484
394,1.2569,0.486
395,1.2515,0.486
396,1.2499,0.486
397,1.2423,0.488
398,1.2434,0.488
399,1.2398,0.49
400,1.2392,0.49
401,1.2336,0.492
402,1.2289,0.493
403,1.2263,0.495
404,1.2247,0.495
405,1.2226,0.496
406,1.2246,0.496
407,1.2251,0.496
408,1.2269,0.495
409,1.2258,0.495
410,1.224,0.497
411,1.2218,0.497
412,1.2268,0.496
413,1.2306,0.493
414,1.2314,0.494
415,1.2245,0.495
416,1.2257,0.497
417,1.2174,0.499
418,1.2152,0.5
419,1.215,0.5
420,1.2115,0.503
421,1.209,0.501
422,1.2013,0.504
423,1.2003,0.503
424,1.1986,0.505
425,1.1983,0.504
426,1.1986,0.504
427,1.199,0.503
428,1.1981,0.503
429,1.1946,0.504
430,1.1955,0.502
431,1.1895,0.505
432,1.1894,0.505
433,1.1884,0.506
434,1.1876,0.507
435,1.1877,0.506
436,1.1832,0.507
437,1.1776,0.509
438,1.1785,0.509
439,1.1757,0.509
440,1.1781,0.51
441,1.1756,0.51
442,1.1721,0.51
443,1.1705,0.51
444,1.1663,0.513
445,1.1623,0.514
446,1.1553,0.514
447,1.157,0.515
448,1.1517,0.516
449,1.1521,0.517
450,1.1442,0.517
451,1.1391,0.519
452,1.1372,0.52
453,1.1328,0.521
454,1.126,0.523
455,1.1245,0.524
456,1.1183,0.526
457,1.1152,0.527
458,1.1103,0.528
459,1.1061,0.529
460,1.1016,0.531
461,1.0944,0.533
462,1.0905,0.535
463,1.0872,0.536
464,1.0812,0.538
465,1.0754,0.539
466,1.0715,0.542
467,1.0675,0.542
468,1.0622,0.545
469,1.058,0.546
470,1.055,0.547
471,1.0492,0.549
472,1.0456,0.55
473,1.0436,0.552
474,1.0368,0.553
475,1.0389,0.554
476,1.0432,0.551
477,1.0595,0.548
478,1.0668,0.544
479,1.1037,0.532
480,1.1465,0.517
481,1.1527,0.513
482,1.1469,0.514
483,1.142,0.513
484,1.1653,0.512
485,1.1184,0.522
486,1.1069,0.525
487,1.0925,0.53
488,1.0799,0.533
489,1.0698,0.537
490,1.0682,0.538
491,1.0566,0.541
492,1.0502,0.544
493,1.0391,0.55
494,1.0383,0.549
495,1.0345,0.552
496,1.0333,0.552
497,1.0266,0.556
498,1.0224,0.556
499,1.0207,0.559
500,1.0084,0.563
501,1.0045,0.564
502,0.9973,0.568
503,0.9909,0.57
504,0.9789,0.575
505,0.9779,0.576
506,0.9741,0.579
507,0.9717,0.581
508,0.9613,0.585
509,0.9569,0.587
510,0.9635,0.585
511,0.958,0.589
512,0.9563,0.591
513,0.9644,0.587
514,0.9453,0.594
515,0.9332,0.597
516,0.9286,0.6
517,0.9947,0.58
518,1.1854,0.511
519,1.1196,0.529
520,1.0847,0.542
521,1.0346,0.559
522,1.0,0.57
523,0.9728,0.583
524,0.9356,0.595
525,0.9287,0.598
526,0.9214,0.601
527,0.9158,0.605
528,0.9106,0.606
529,0.9079,0.61
530,0.9475,0.612
531,0.896,0.615
532,0.8959,0.615
533,0.8892,0.618
534,0.8903,0.618
535,0.8946,0.616
536,0.8853,0.62
537,0.8863,0.619
538,0.8907,0.618
539,0.8995,0.615
540,0.9065,0.611
541,0.9092,0.61
542,0.9122,0.61
543,0.9194,0.606
544,0.9359,0.598
545,0.9355,0.599
546,0.9485,0.593
547,0.9369,0.597
548,0.9331,0.599
549,0.9348,0.598
550,0.9307,0.6
551,0.9268,0.601
552,0.9182,0.604
553,0.9163,0.606
554,0.9138,0.606
555,0.9099,0.609
556,0.906,0.61
557,0.9084,0.61
558,0.9098,0.61
559,0.9091,0.61
560,0.9036,0.612
561,0.907,0.611
562,0.8987,0.615
563,0.8952,0.616
564,0.8954,0.616
565,0.893,0.618
566,0.8986,0.616
567,0.8959,0.618
568,0.8904,0.619
569,0.8938,0.617
570,0.8931,0.618
571,0.8889,0.618
572,0.8927,0.618
573,0.8894,0.619
574,0.8921,0.618
575,0.8909,0.617
576,0.8928,0.618
577,0.891,0.617
578,0.8978,0.616
579,0.8875,0.618
580,0.8917,0.617
581,0.8957,0.616
582,0.8835,0.62
583,0.8829,0.621
584,0.881,0.621
585,0.8786,0.622
586,0.8785,0.622
587,0.8774,0.623
588,0.8825,0.621
589,0.8918,0.617
590,0.8671,0.624
591,0.8586,0.629
592,0.8524,0.632
593,0.845,0.636
594,0.8472,0.634
595,0.8519,0.633
596,0.8503,0.634
597,0.8534,0.632
598,0.8481,0.635
599,0.8518,0.634
600,0.8551,0.632
601,0.8549,0.632
602,0.8574,0.631
603,0.851,0.634
604,0.8516,0.634
605,0.8531,0.633
606,0.8932,0.621
607,0.8863,0.619
608,0.8527,0.63
609,0.8758,0.623
610,0.8789,0.619
611,0.8762,0.622
612,0.8274,0.64
613,0.8164,0.646
614,0.8094,0.65
615,0.8065,0.651
616,0.7998,0.655
617,0.7995,0.655
618,0.7952,0.658
619,0.7952,0.657
620,0.7945,0.66
621,0.7952,0.658
622,0.7973,0.659
623,0.7951,0.66
624,0.7957,0.66
625,0.7939,0.662
626,0.7944,0.66
627,0.7994,0.659
628,0.8006,0.66
629,0.7977,0.661
630,0.7954,0.661
631,0.7952,0.661
632,0.8015,0.659
633,0.8007,0.659
634,0.8018,0.66
635,0.8019,0.659
636,0.8171,0.656
637,0.8432,0.642
638,0.8158,0.652
639,0.7986,0.66
640,0.806,0.655
641,0.8009,0.657
642,0.7818,0.666
643,0.7754,0.67
644,0.7706,0.673
645,0.7681,0.675
646,0.7684,0.675
647,0.7696,0.674
648,0.7752,0.672
649,0.7822,0.67
650,0.7835,0.668
